etapa,puesto,rep_id,rep_name,grafia,party,party_family,filas_habla_v3,palabras_habla_v3,pct_etapa
I,223,589,Teodomiro Menendez Fernandez,Teodomiro Menéndez Fernández,PSOE,Socialista,34,11146,0.000974
I,224,483,Eduardo Layret Foix,Eduardo Layret Foix,ERC,Catizq,66,11051,0.000966
I,225,952,Humberto Torres Barbera,Humberto Torres Barberá,ERC,Catizq,6,10877,0.00095
I,226,182,Jose Cano Coloma,José Cano Coloma,PRRS,Republicanos,19,10794,0.000943
I,227,490,Jose Llado Y Valles,José Lladó y Vallés,RI,Liberales,22,10436,0.000912
I,228,83,Benito Artigas Arpon,Benito Artigas Arpón,PRRS,Republicanos,16,10280,0.000898
I,229,140,Carlos Blanco Perez,Carlos Blanco Pérez,DLR,Liberales,42,10168,0.000888
I,230,757,Jose Puig De Asprer,José Puig de Asprer,PRR,Republicanos,90,9987,0.000873
I,231,977,Pedro Vargas Guerendiain,Pedro Vargas Guerendiain,PRRS,Republicanos,27,9950,0.000869
I,232,873,Antonio L. Sanchez Prados,Antonio L. Sánchez Prados,PRRS,Republicanos,31,9665,0.000844
I,233,383,Bernardo Giner De Los Rios Garcia,Bernardo Giner de los Ríos García,ASR,Liberales,38,9650,0.000843
I,234,141,Benito Blanco Rajoy Y Espada,Benito Blanco-Rajoy y Espada,Indep. de derechas,Conservadores,47,9353,0.000817
I,235,401,Emilio Gonzalez Lopez,Emilio González López,FRG,Galleguista,33,9262,0.000809
I,236,99,Jose Ballester Gozalvo,José Ballester Gozalvo,PRRS,Republicanos,89,9183,0.000802
I,237,877,Jose Sanchis Banus,José Sanchís Banús,PSOE,Socialista,10,8990,0.000786
I,238,658,Roberto Novoa Santos,Roberto Novoa Santos,FRG,Republicanos,2,8885,0.000776
I,239,938,Ramon Maria Tenreiro Rodriguez,Ramón María Tenreiro Rodríguez,FRG,Republicanos,23,8863,0.000774
I,240,507,Edmundo Lorenzo Santiago,Edmundo Lorenzo Santiago,PSOE,Socialista,11,8798,0.000769
I,241,260,Perfecto Diaz Alonso,Perfecto Díaz Alonso,PRR,Republicanos,49,8784,0.000768
I,242,788,Pedro Riera Vidal,Pedro Riera Vidal,PRR,Republicanos,15,8713,0.000761
I,243,404,Ramon Gonzalez Peña,Ramón González Peña,PSOE,Socialista,7,8515,0.000744
I,244,994,Juan Ventosa Roig,Juan Ventosa Roig,ERC,Catizq,17,8506,0.000743
I,245,831,Manuel Ruiz De Villa Y P. Carral,Manuel Ruiz de Villa y P. Carral,PRRS,Republicanos,6,8481,0.000741
I,246,936,Jose Templado Martinez,José Templado Martínez,PRR,Republicanos,45,8262,0.000722
I,247,217,Enrique Del Castillo Folache,Enrique del Castillo Folache,DLR,Liberales,36,8073,0.000705
I,248,696,Jose Pareja Yevenes,José Pareja Yévenes,PRR,Republicanos,3,7794,0.000681
I,249,224,Jose Centeno Gonzalez,José Centeno González,DLR,Liberales,39,7279,0.000636
I,250,133,Julian Besteiro Fernandez,Julián Besteiro Fernández,PSOE,Socialista,21,7044,0.000615
I,251,293,Martin Esteve Guau,Martín Esteve Guau,ACR,Catizq,33,7024,0.000614
I,252,855,Jose Salmeron Garcia,José Salmerón García,PRRS,Republicanos,53,6958,0.000608
I,253,917,Emilio De Sola Y Ramos,Emilio de Solá y Ramos,AR,Republicanos,14,6932,0.000606
I,254,825,Angel Rubio Muñoz Bocanegra,Ángel Rubio Muñoz Bocanegra,PSOE,Socialista,3,6908,0.000604
I,255,775,Cayetano Redondo Aceña,Cayetano Redondo Aceña,PSOE,Socialista,15,6903,0.000603
I,256,17,Francisco Agustin Rodriguez,Francisco Agustín Rodríguez,PRR,Republicanos,6,6781,0.000592
I,257,376,Fernando Gasset Y Lacasaña,Fernando Gasset y Lacasaña,PRR,Republicanos,37,6728,0.000588
I,258,882,Primitivo Santa Cecilia Rivas,Primitivo Santa Cecilia Rivas,PSOE,Socialista,8,6716,0.000587
I,259,381,Ramon Gil Roldan Y Martin,Ramón Gil Roldán y Martín,PRR,Republicanos,16,6699,0.000585
I,260,838,Ramon Ruiz Rebollo,Ramón Ruiz Rebollo,PRDF,Republicanos,23,6664,0.000582
I,261,862,Angel Samblancat Salanova,Ángel Samblancat Salanova,PSOE,Socialista,7,6629,0.000579
I,262,644,Manuel Muñoz Martinez,Manuel Muñoz Martínez,PRRS,Republicanos,22,6548,0.000572
I,263,533,Jose Mareque Santos,José Mareque Santos,PSOE,Socialista,7,6479,0.000566
I,264,338,Enrique De Francisco Jimenez,Enrique de Francisco Jiménez,PSOE,Socialista,25,6428,0.000562
I,265,410,Jose Fernando Gonzalez Uña,José Fernando González Uña,PSOE,Socialista,12,6407,0.00056
I,266,590,Angel Menendez Suarez,Ángel Menéndez Suárez,PRDF,Republicanos,31,6361,0.000556
I,267,289,Jose Estadella Arno,José Estadella Arnó,PRR,Republicanos,7,6344,0.000554
I,268,1024,Julian Zugazagoitia Mendieta,Julián Zugazagoitia Mendieta,PSOE,Socialista,7,6206,0.000542
I,269,888,Martin Sanz Diez,Martín Sanz Díez,PSOE,Socialista,4,5955,0.00052
I,270,698,Marcelino Pascua Martinez,Marcelino Pascua Martínez,PSOE,Socialista,29,5828,0.000509
I,271,102,Sebastian Banzo Urrea,Sebastián Banzo Urrea,PRR,Republicanos,2,5741,0.000502
I,272,332,Alvaro Figueroa Y Torres,Álvaro Figueroa y Torres,Liberal Monárquico,Liberales,5,5654,0.000494
I,273,847,Pedro Sainz Rodriguez,Pedro Sainz Rodríguez,RI,Derecha autoritaria,8,5633,0.000492
I,274,82,Andres De Arroyo Y Gonzalez De Chaves,Andrés de Arroyo y González de Chaves,CT,Carlistas,14,5602,0.000489
I,275,951,Angel Torres Alonso,Ángel Torres Alonso,Agrarios,Agrarios,16,5302,0.000463
I,276,21,Manuel Albar Catalan,Manuel Albar Catalán,PSOE,Socialista,14,5282,0.000462
I,277,407,Ramon Gonzalez Sicilia Y De La Corte,Ramón González Sicilia y de la Corte,AR,Republicanos,18,5272,0.000461
I,278,382,Gil Gil Y Gil,Gil Gil y Gil,PRR,Republicanos,32,5227,0.000457
I,279,739,Fernando Piñuela Y Romero,Fernando Piñuela y Romero,PSOE,Socialista,18,5203,0.000455
I,280,978,Daniel Vazquez Campo,Daniel Vázquez Campo,FRG,Republicanos,18,5109,0.000446
I,281,803,Romualdo Rodriguez De Vera Y Romero,Romualdo Rodríguez de Vera y Romero,PSOE,Socialista,31,5038,0.00044
I,282,271,Andres Domingo Martinez,Andrés Domingo Martínez,PSOE,Socialista,4,5019,0.000439
I,283,38,Gabriel Alomar Villalonga,Gabriel Alomar Villalonga,PRRS,Republicanos,45,4982,0.000435
I,284,210,Hermenegildo Casas Jimenez,Hermenegildo Casas Jiménez,PSOE,Socialista,10,4898,0.000428
I,285,832,Jesus Ruiz Del Rio,Jesús Ruiz del Río,PRRS,Republicanos,18,4803,0.00042
I,286,1012,Antonio Villar Ponte,Antonio Villar Ponte,FRG,Galleguista,11,4802,0.00042
I,287,86,Julian Ayesta Manchola,Julián Ayesta Manchola,DLR,Liberales,18,4738,0.000414
I,288,325,Lauro Fernandez Y Gonzalez,Lauro Fernández y González,RI,Conservadores,10,4629,0.000404
I,289,844,Antonio Sacristan Colas,Antonio Sacristán Colás,PSOE,Socialista,32,4628,0.000404
I,290,690,Domingo Palet Y Barba,Domingo Palet y Barba,ERC,Catizq,39,4622,0.000404
I,291,572,Carlos Martinez Y Martinez,Carlos Martínez y Martínez,PRRS,Republicanos,11,4593,0.000401
I,292,377,Ventura Gassol Rovira,Ventura Gassol Rovira,ERC,Catizq,7,4552,0.000398
I,293,281,Enrique Esbri Fernandez,Enrique Esbrí Fernández,PSOE,Socialista,2,4542,0.000397
I,294,603,Esteban Mirasol Ruiz,Esteban Mirasol Ruiz,AR,Republicanos,40,4479,0.000391
I,295,71,Luis Araquistain Quevedo,Luis Araquistáin Quevedo,PSOE,Socialista,7,4353,0.00038
I,296,1003,Gregorio Vilatela Abad,Gregorio Vilatela Abad,PRRS,Republicanos,1,4347,0.00038
I,297,146,Fermin Blazquez Nieto,Fermín Blázquez Nieto,PSOE,Socialista,52,4340,0.000379
I,298,989,Luis Velasco Coffin,Luis Velasco Coffín,PRR,Republicanos,7,4246,0.000371
I,299,35,Rodrigo Almada Rodriguez,Rodrigo Almada Rodríguez,PSOE,Socialista,19,4234,0.00037
I,300,526,Juan March Ordinas,Juan March Ordinas,PRC,Conservadores,9,4203,0.000367
I,301,154,Enrique Heraclio Botana Perez,Enrique Heraclio Botana Pérez,PSOE,Socialista,52,4177,0.000365
I,302,545,Marcelino Martin Gonzalez Del Arco,Marcelino Martín González del Arco,PSOE,Socialista,34,4011,0.00035
I,303,91,Justino De Azcarate Y Florez,Justino de Azcárate y Flórez,ASR,Liberales,44,3948,0.000345
