fecha,num_session,legislatura,etapa,filas_con_lista,ids_V2
1933-03-29,319,1931-1933,I,3,48565 48588 48597
1933-03-30,320,1931-1933,I,1,48670
1933-03-31,321,1931-1933,I,7,48756 48776 48784 48829 48835 48848 48857
1933-04-04,322,1931-1933,I,4,48907 48913 48951 48976
1933-04-05,323,1931-1933,I,2,49069 49085
1933-04-07,325,1931-1933,I,8,49306 49309 49313 49334 49339 49341 49343 49354
1933-04-26,327,1931-1933,I,3,49492 49493 49507
1933-04-27,328,1931-1933,I,4,49614 49628 49658 49667
1933-04-28,329,1931-1933,I,2,49699 49720
1933-05-02,330,1931-1933,I,2,49791 49800
1933-05-03,331,1931-1933,I,5,49860 49869 49913 49918 49929
1933-05-04,332,1931-1933,I,7,49970 49973 49992 50002 50013 50047 50101
1933-05-05,333,1931-1933,I,5,50121 50134 50148 50162 50167
1933-05-09,334,1931-1933,I,5,50196 50206 50216 50221 50226
1933-05-10,335,1931-1933,I,7,50282 50297 50302 50314 50347 50370 50413
1933-05-11,336,1931-1933,I,3,50468 50539 50587
1933-05-12,337,1931-1933,I,11,50627 50640 50647 50650 50653 50658 50675 50680 50685 50688 50692
1933-05-16,338,1931-1933,I,6,50708 50709 50727 50740 50744 50748
1933-05-17,339,1931-1933,I,8,50797 50802 50807 50810 50816 50870 50892 50898
1933-05-18,340,1931-1933,I,1,50957
1933-05-23,342,1931-1933,I,1,51135
1933-05-30,346,1931-1933,I,1,51657
1933-06-01,348,1931-1933,I,1,52339
1933-06-02,349,1931-1933,I,2,52425 52491
1933-06-07,351,1931-1933,I,1,52984
1933-06-20,356,1931-1933,I,1,53342
1933-06-21,357,1931-1933,I,1,53535
1933-06-22,358,1931-1933,I,1,53579
1933-06-23,359,1931-1933,I,1,53907
1933-06-27,360,1931-1933,I,1,53978
1933-07-04,364,1931-1933,I,7,54459 54477 54478 54479 54480 54481 54486
1933-07-05,365,1931-1933,I,4,54612 54642 54683 54697
1933-07-07,367,1931-1933,I,1,54952
1933-07-12,369,1931-1933,I,2,55256 55258
1933-07-14,371,1931-1933,I,1,55460
1933-07-18,372,1931-1933,I,6,55540 55549 55562 55573 55580 55593
1933-07-19,373,1931-1933,I,2,55948 55968
1933-07-20,374,1931-1933,I,3,56096 56118 56162
1933-07-21,375,1931-1933,I,1,56603
1933-07-25,376,1931-1933,I,5,56746 56759 56774 56802 56810
1933-07-26,377,1931-1933,I,6,57007 57016 57018 57020 57022 57024
1933-07-28,379,1931-1933,I,2,57180 57202
1933-08-01,380,1931-1933,I,2,57308 57333
1933-08-02,381,1931-1933,I,7,57438 57451 57465 57466 57470 57476 57479
1933-08-03,382,1931-1933,I,5,57503 57513 57514 57518 57521
1933-08-09,385,1931-1933,I,4,58038 58098 58099 58140
1933-08-10,386,1931-1933,I,3,58290 58313 58329
1933-08-15,388,1931-1933,I,3,58529 58554 58569
