nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Francisco Julia Perello;1933-1936;FRANCISCO;JULIA PERELLO;Baleares;PRR;Republicanos;C;463
Perfecto Ruiz Dorronsoro;1931-1933;PERFECTO;RUIZ DORRONSORO;Burgos;PRR;Republicanos;C;834
Mariano Arrazola Madera;1933-1936;MARIANO;ARRAZOLA MADERA;Cáceres;PRR;Republicanos;C;81
Fulgencio Diez Pastor;1933-1936;FULGENCIO;DIEZ PASTOR;Cáceres;PRR;Republicanos;C;269
Luciano Escribano Lozano;1933-1936;LUCIANO;ESCRIBANO LOZANO;Cáceres;PRR;Republicanos;C;285
Teodoro Pascual Cordero;1936-1939;TEODORO;PASCUAL CORDERO;Cáceres;PRR;Republicanos;C;699
Teodoro Pascual Cordero;1933-1936;TEODORO;PASCUAL CORDERO;Cáceres;PRR;Republicanos;C;699
Santiago Rodriguez Piñero;1931-1933;SANTIAGO;RODRIGUEZ PIÑERO;Cádiz;PRR;Republicanos;C;809
Angel Rizo Bayona;1931-1933;ANGEL;RIZO BAYONA;Cartagena;PRR;Republicanos;C;794
Vicente Cantos Figuerola;1931-1933;VICENTE;CANTOS FIGUEROLA;Castellón;PRR;Republicanos;C;186
Fernando Gasset Y Lacasaña;1931-1933;FERNANDO;GASSET Y LACASAÑA;Castellón;PRR;Republicanos;C;376
Alvaro Pascual Leone;1931-1933;ALVARO;PASCUAL LEONE;Castellón;PRR;Republicanos;C;700
Juan Calot Sanz;1933-1936;JUAN;CALOT SANZ;Castellón;PRR;Republicanos;C;167
Vicente Cantos Figuerola;1933-1936;VICENTE;CANTOS FIGUEROLA;Castellón;PRR;Republicanos;C;186
Jose Morello Del Pozo;1933-1936;JOSE;MORELLO DEL POZO;Castellón;PRR;Republicanos;C;625
Alvaro Pascual Leone;1933-1936;ALVARO;PASCUAL LEONE;Castellón;PRR;Republicanos;C;700
Tomas Peire Cabaleiro;1933-1936;TOMAS;PEIRE CABALEIRO;Ceuta;PRR;Republicanos;C;703
