nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Manuel Irujo Ollo;1933-1936;MANUEL;IRUJO OLLO;Guipúzcoa;PNV;Nacionalista Vasco;CD;448
Manuel Irujo Ollo;1936-1939;MANUEL;IRUJO OLLO;Guipúzcoa;PNV;Nacionalista Vasco;CD;448
Jose Maria Lasarte Arana;1936-1939;JOSE MARIA;LASARTE ARANA;Guipúzcoa;PNV;Nacionalista Vasco;CD;480
Jesus Maria Leizaola Sanchez;1933-1936;JESUS MARIA;LEIZAOLA SANCHEZ;Guipúzcoa;PNV;Nacionalista Vasco;CD;485
Telesforo Monzon Y Ortiz De Urruela;1933-1936;TELESFORO;MONZON Y ORTIZ DE URRUELA;Guipúzcoa;PNV;Nacionalista Vasco;CD;620
Rafael Picavea Leguia;1933-1936;RAFAEL;PICAVEA LEGUIA;Guipúzcoa;PNV;Nacionalista Vasco;CD;733
Rafael Picavea Leguia;1936-1939;RAFAEL;PICAVEA LEGUIA;Guipúzcoa;PNV;Nacionalista Vasco;CD;733
Jose Antonio Aguirre Y Lecube;1931-1933;JOSE ANTONIO;AGUIRRE Y LECUBE;Navarra;PNV;Nacionalista Vasco;CD;16
Jose Antonio Aguirre Y Lecube;1933-1936;JOSE ANTONIO;AGUIRRE Y LECUBE;Vizcaya;PNV;Nacionalista Vasco;CD;16
Jose Antonio Aguirre Y Lecube;1936-1939;JOSE ANTONIO;AGUIRRE Y LECUBE;Vizcaya;PNV;Nacionalista Vasco;CD;16
Juan Antonio De Careaga Y Andueza;1933-1936;JUAN ANTONIO DE;CAREAGA Y ANDUEZA;Vizcaya;PNV;Nacionalista Vasco;CD;189
Jose Horn Areilza;1933-1936;JOSE;HORN AREILZA;Vizcaya;PNV;Nacionalista Vasco;CD;436
Jose Horn Areilza;1936-1939;JOSE;HORN AREILZA;Vizcaya;PNV;Nacionalista Vasco;CD;436
Julio Jauregui Lasanta;1936-1939;JULIO;JAUREGUI LASANTA;Vizcaya;PNV;Nacionalista Vasco;CD;452
Manuel Robles Aranguiz;1933-1936;MANUEL;ROBLES ARANGUIZ;Vizcaya;PNV;Nacionalista Vasco;CD;796
Manuel Robles Aranguiz;1936-1939;MANUEL;ROBLES ARANGUIZ;Vizcaya;PNV;Nacionalista Vasco;CD;796
Heliodoro De La Torre Larrinaga;1933-1936;HELIODORO DE LA;TORRE LARRINAGA;Vizcaya;PNV;Nacionalista Vasco;CD;949
Heliodoro De La Torre Larrinaga;1936-1939;HELIODORO DE LA;TORRE LARRINAGA;Vizcaya;PNV;Nacionalista Vasco;CD;949
Ramon De Vicuña Y Epalza;1933-1936;RAMON DE;VICUÑA Y EPALZA;Vizcaya;PNV;Nacionalista Vasco;CD;997
Francisco Basterrechea Zaldivar;1931-1933;FRANCISCO;BASTERRECHEA ZALDIVAR;Vizcaya;PNV;Nacionalista Vasco;CD;116
Manuel De Eguileor Y Orueta;1931-1933;MANUEL DE;EGUILEOR Y ORUETA;Vizcaya;PNV;Nacionalista Vasco;CD;278
Jose Horn Areilza;1931-1933;JOSE;HORN AREILZA;Vizcaya;PNV;Nacionalista Vasco;CD;436
Manuel Robles Aranguiz;1931-1933;MANUEL;ROBLES ARANGUIZ;Vizcaya;PNV;Nacionalista Vasco;CD;796
Jose Antonio Canals Alvarez;1936-1939;JOSE ANTONIO;CANALS ALVAREZ;Cádiz;Independiente;Republicanos;CD;179
Emilio Gonzalez Lopez;1931-1933;EMILIO;GONZALEZ LOPEZ;Coruña (La);FRG;Galleguista;CI;401
Ramon Suarez Picallo;1931-1933;RAMON;SUAREZ PICALLO;Coruña (La);FRG;Galleguista;CI;925
Antonio Villar Ponte;1931-1933;ANTONIO;VILLAR PONTE;Coruña (La);FRG;Galleguista;CI;1012
Emilio Gonzalez Lopez;1933-1936;EMILIO;GONZALEZ LOPEZ;Coruña (La);FRG;Galleguista;CI;401
Manuel Iglesias Corral;1933-1936;MANUEL;IGLESIAS CORRAL;Coruña (La);FRG;Galleguista;CI;442
Sergio Andion Perez;1931-1933;SERGIO;ANDION PEREZ;Lugo;FRG;Galleguista;CI;63
Luis Peña Novo;1931-1933;LUIS;PEÑA NOVO;Lugo;FRG;Galleguista;CI;707
Roberto Novoa Santos;1931-1933;ROBERTO;NOVOA SANTOS;Coruña (La);FRG;Galleguista;CI;658
Santiago Casares Quiroga;1931-1933;SANTIAGO;CASARES QUIROGA;Coruña (La);FRG;Galleguista;CI;209
Salvador Madariaga Rojo;1931-1933;SALVADOR;MADARIAGA ROJO;Coruña (La);FRG;Galleguista;CI;513
Leandro Pita Romero;1931-1933;LEANDRO;PITA ROMERO;Coruña (La);FRG;Galleguista;CI;741
Alejandro Rodriguez Cadarso;1931-1933;ALEJANDRO;RODRIGUEZ CADARSO;Coruña (La);FRG;Galleguista;CI;800
Antonio Rodriguez Perez;1931-1933;ANTONIO;RODRIGUEZ PEREZ;Coruña (La);FRG;Galleguista;CI;808
Ramon Maria Tenreiro Rodriguez;1931-1933;RAMON MARIA;TENREIRO RODRIGUEZ;Coruña (La);FRG;Galleguista;CI;938
Santiago Casares Quiroga;1933-1936;SANTIAGO;CASARES QUIROGA;Coruña (La);FRG;Galleguista;CI;209
Daniel Vazquez Campo;1931-1933;DANIEL;VAZQUEZ CAMPO;Lugo;FRG;Galleguista;CI;978
Bibiano Fernandez Osorio Tafall;1931-1933;BIBIANO;FERNANDEZ OSORIO TAFALL;Pontevedra;FRG;Galleguista;CI;319
Manuel Varela Radio;1931-1933;MANUEL;VARELA RADIO;Pontevedra;FRG;Galleguista;CI;976
Ramon Suarez Picallo;1936-1939;RAMON;SUAREZ PICALLO;Coruña (La);PG;Galleguista;CI;925
Antonio Villar Ponte;1936-1939;ANTONIO;VILLAR PONTE;Coruña (La);PG;Galleguista;CI;1012
Ramon Otero Pedrayo;1931-1933;RAMON;OTERO PEDRAYO;Orense;PG;Galleguista;CI;678
Antonio Alonso Rios;1936-1939;ANTONIO;ALONSO RIOS;Pontevedra;PG;Galleguista;CI;42
Alfonso Daniel Rodriguez Castelao;1936-1939;ALFONSO DANIEL;RODRIGUEZ CASTELAO;Pontevedra;PG;Galleguista;CI;801
Alfonso Daniel Rodriguez Castelao;1931-1933;ALFONSO DANIEL;RODRIGUEZ CASTELAO;Pontevedra;PG;Galleguista;CI;801
Ramon Viguri Y Ruiz De Olano;1936-1939;RAMON;VIGURI Y RUIZ DE OLANO;Álava;AR;Republicanos;CI;1002
Fernando Coca Gonzalez Saavedra;1931-1933;FERNANDO;COCA GONZALEZ SAAVEDRA;Albacete;AR;Republicanos;CI;233
Esteban Mirasol Ruiz;1931-1933;ESTEBAN;MIRASOL RUIZ;Albacete;AR;Republicanos;CI;603
Antonio Velao Oñate;1931-1933;ANTONIO;VELAO OÑATE;Albacete;AR;Republicanos;CI;988
Esteban Mirasol Ruiz;1936-1939;ESTEBAN;MIRASOL RUIZ;Albacete;AR;Republicanos;CI;603
Enrique Navarro Esparcia;1936-1939;ENRIQUE;NAVARRO ESPARCIA;Albacete;AR;Republicanos;CI;649
Juan Jose Cremades Fons;1936-1939;JUAN JOSE;CREMADES FONS;Alicante;AR;Republicanos;CI;249
Carlos Espla Rizo;1936-1939;CARLOS;ESPLA RIZO;Alicante;AR;Republicanos;CI;288
Eliseo Gomez Serrano;1936-1939;ELISEO;GOMEZ SERRANO;Alicante;AR;Republicanos;CI;396
Augusto Barcia Y Trelles;1936-1939;AUGUSTO;BARCIA Y TRELLES;Almería;AR;Republicanos;CI;103
Juan Company Jimenez;1936-1939;JUAN;COMPANY JIMENEZ;Almería;AR;Republicanos;CI;238
Augusto Barcia Y Trelles;1933-1936;AUGUSTO;BARCIA Y TRELLES;Almería;AR;Republicanos;CI;103
Claudio Sanchez Albornoz Menduiña;1931-1933;CLAUDIO;SANCHEZ ALBORNOZ MENDUIÑA;Ávila;AR;Republicanos;CI;865
Claudio Sanchez Albornoz Menduiña;1936-1939;CLAUDIO;SANCHEZ ALBORNOZ MENDUIÑA;Ávila;AR;Republicanos;CI;865
Claudio Sanchez Albornoz Menduiña;1933-1936;CLAUDIO;SANCHEZ ALBORNOZ MENDUIÑA;Ávila;AR;Republicanos;CI;865
Jesus De Miguel Lancho;1936-1939;JESUS DE;MIGUEL LANCHO;Badajoz;AR;Republicanos;CI;597
Miguel Muñoz Gonzalez De Ocampo;1936-1939;MIGUEL;MUÑOZ GONZALEZ DE OCAMPO;Badajoz;AR;Republicanos;CI;643
Vicente Sol Sanchez;1936-1939;VICENTE;SOL SANCHEZ;Badajoz;AR;Republicanos;CI;915
Francisco Carreras Reura;1931-1933;FRANCISCO;CARRERAS REURA;Baleares;AR;Republicanos;CI;198
Faustino Ballve Pallicer;1936-1939;FAUSTINO;BALLVE PALLICER;Barcelona;AR;Republicanos;CI;100
Moises Barrio Duque;1936-1939;MOISES;BARRIO DUQUE;Burgos;AR;Republicanos;CI;111
Eliseo Cuadrado Garcia;1936-1939;ELISEO;CUADRADO GARCIA;Burgos;AR;Republicanos;CI;253
Jose Giral Pereira;1936-1939;JOSE;GIRAL PEREIRA;Cáceres;AR;Republicanos;CI;384
Luis Martinez Carvajal;1936-1939;LUIS;MARTINEZ CARVAJAL;Cáceres;AR;Republicanos;CI;552
Fermin Aranda Y Fernandez Caballero;1931-1933;FERMIN;ARANDA Y FERNANDEZ CABALLERO;Cádiz;AR;Republicanos;CI;70
Adolfo Chacon De La Mata;1931-1933;ADOLFO;CHACON DE LA MATA;Cádiz;AR;Republicanos;CI;228
Manuel Moreno Mendoza;1931-1933;MANUEL;MORENO MENDOZA;Cádiz;AR;Republicanos;CI;632
Emilio De Sola Y Ramos;1931-1933;EMILIO DE;SOLA Y RAMOS;Cádiz;AR;Republicanos;CI;917
Francisco Aguado De Miguel;1936-1939;FRANCISCO;AGUADO DE MIGUEL;Cádiz;AR;Republicanos;CI;12
Manuel Muñoz Martinez;1936-1939;MANUEL;MUÑOZ MARTINEZ;Cádiz;AR;Republicanos;CI;644
Jose Royo Gomez;1931-1933;JOSE;ROYO GOMEZ;Castellón;AR;Republicanos;CI;820
Francisco Casas Sala;1936-1939;FRANCISCO;CASAS SALA;Castellón;AR;Republicanos;CI;211
Vicente Fe Castell;1936-1939;VICENTE;FE CASTELL;Castellón;AR;Republicanos;CI;300
Gumersindo Alberca Montoya;1931-1933;GUMERSINDO;ALBERCA MONTOYA;Ciudad Real;AR;Republicanos;CI;22
Antonio Jaen Morente;1936-1939;ANTONIO;JAEN MORENTE;Córdoba;AR;Republicanos;CI;450
Ramon Rubio Vicenti;1936-1939;RAMON;RUBIO VICENTI;Córdoba;AR;Republicanos;CI;827
Jose Calviño Dominguez;1936-1939;JOSE;CALVIÑO DOMINGUEZ;Coruña (La);AR;Republicanos;CI;169
Santiago Casares Quiroga;1936-1939;SANTIAGO;CASARES QUIROGA;Coruña (La);AR;Republicanos;CI;209
Emilio Gonzalez Lopez;1936-1939;EMILIO;GONZALEZ LOPEZ;Coruña (La);AR;Republicanos;CI;401
Manuel Guzman Garcia;1936-1939;MANUEL;GUZMAN GARCIA;Coruña (La);AR;Republicanos;CI;429
Alfredo Somoza Gutierrez;1936-1939;ALFREDO;SOMOZA GUTIERREZ;Coruña (La);AR;Republicanos;CI;919
Victorino Veiga Gonzalez;1936-1939;VICTORINO;VEIGA GONZALEZ;Coruña (La);AR;Republicanos;CI;987
Albino Lasso Conde;1936-1939;ALBINO;LASSO CONDE;Cuenca;AR;Republicanos;CI;481
Aurelio Lopez Malo Andres;1936-1939;AURELIO;LOPEZ MALO ANDRES;Cuenca;AR;Republicanos;CI;498
Jose Palanco Romero;1936-1939;JOSE;PALANCO ROMERO;Granada;AR;Republicanos;CI;688
Miguel Rodriguez Molina;1936-1939;MIGUEL;RODRIGUEZ MOLINA;Granada;AR;Republicanos;CI;807
Jose Serrano Batanero;1931-1933;JOSE;SERRANO BATANERO;Guadalajara;AR;Republicanos;CI;905
Mariano Anso Zunzarren;1936-1939;MARIANO;ANSO ZUNZARREN;Guipúzcoa;AR;Republicanos;CI;65
Ildefonso Beltran Pueyo;1936-1939;ILDEFONSO;BELTRAN PUEYO;Huelva;AR;Republicanos;CI;124
Casimiro Lana Sarrate;1936-1939;CASIMIRO;LANA SARRATE;Huelva;AR;Republicanos;CI;473
Pedro Fernandez Hernandez;1936-1939;PEDRO;FERNANDEZ HERNANDEZ;Jaén;AR;Republicanos;CI;313
Victoria Kent Siano;1936-1939;VICTORIA;KENT SIANO;Jaén;AR;Republicanos;CI;467
Gabriel Franco Lopez;1931-1933;GABRIEL;FRANCO LOPEZ;León;AR;Republicanos;CI;340
Gabriel Franco Lopez;1936-1939;GABRIEL;FRANCO LOPEZ;León;AR;Republicanos;CI;340
Luis Bello Trompeta;1933-1936;LUIS;BELLO TROMPETA;Lérida;AR;Republicanos;CI;123
Amos Salvador Saenz Y Carreras;1933-1936;AMOS;SALVADOR SAENZ Y CARRERAS;Logroño;AR;Republicanos;CI;859
Amos Salvador Saenz Y Carreras;1936-1939;AMOS;SALVADOR SAENZ Y CARRERAS;Logroño;AR;Republicanos;CI;859
Jose Maria Diaz Y Diaz Villamil;1936-1939;JOSE MARIA;DIAZ Y DIAZ VILLAMIL;Lugo;AR;Republicanos;CI;267
Roberto Ouro Vazquez;1936-1939;ROBERTO;OURO VAZQUEZ;Lugo;AR;Republicanos;CI;679
Luis Bello Trompeta;1931-1933;LUIS;BELLO TROMPETA;Madrid;AR;Republicanos;CI;123
Luis Fernandez Clerigo;1931-1933;LUIS;FERNANDEZ CLERIGO;Madrid;AR;Republicanos;CI;306
Pedro Rico Lopez;1931-1933;PEDRO;RICO LOPEZ;Madrid;AR;Republicanos;CI;786
Manuel Azaña Diaz;1936-1939;MANUEL;AZAÑA DIAZ;Madrid;AR;Republicanos;CI;89
Roberto Escribano Iglesias;1936-1939;ROBERTO;ESCRIBANO IGLESIAS;Madrid;AR;Republicanos;CI;284
Luis Fernandez Clerigo;1936-1939;LUIS;FERNANDEZ CLERIGO;Madrid;AR;Republicanos;CI;306
Leandro Perez Urria;1936-1939;LEANDRO;PEREZ URRIA;Madrid;AR;Republicanos;CI;726
Enrique Ramos Ramos;1936-1939;ENRIQUE;RAMOS RAMOS;Madrid;AR;Republicanos;CI;772
Antonio Velao Oñate;1936-1939;ANTONIO;VELAO OÑATE;Madrid;AR;Republicanos;CI;988
Enrique Ramos Ramos;1931-1933;ENRIQUE;RAMOS RAMOS;Málaga;AR;Republicanos;CI;772
Emilio Baeza Medina;1936-1939;EMILIO;BAEZA MEDINA;Málaga;AR;Republicanos;CI;97
Federico Casamayor Toscano;1936-1939;FEDERICO;CASAMAYOR TOSCANO;Málaga;AR;Republicanos;CI;204
Luis Velasco Damas;1936-1939;LUIS;VELASCO DAMAS;Málaga;AR;Republicanos;CI;990
Gonzalo Figueroa O'neill;1931-1933;GONZALO;FIGUEROA O'NEILL;Murcia;AR;Republicanos;CI;329
Mariano Ruiz Funes Garcia;1931-1933;MARIANO;RUIZ FUNES GARCIA;Murcia;AR;Republicanos;CI;835
Jose Diaz Fernandez;1936-1939;JOSE;DIAZ FERNANDEZ;Murcia;AR;Republicanos;CI;264
Alfonso Ruiz Blazquez;1936-1939;ALFONSO;RUIZ BLAZQUEZ;Murcia;AR;Republicanos;CI;830
Felix Templado Martinez;1936-1939;FELIX;TEMPLADO MARTINEZ;Murcia;AR;Republicanos;CI;937
Mariano Anso Zunzarren;1931-1933;MARIANO;ANSO ZUNZARREN;Navarra;AR;Republicanos;CI;65
Manuel Martinez Risco Y Macias;1931-1933;MANUEL;MARTINEZ RISCO Y MACIAS;Orense;AR;Republicanos;CI;568
Manuel Martinez Risco Y Macias;1936-1939;MANUEL;MARTINEZ RISCO Y MACIAS;Orense;AR;Republicanos;CI;568
Felix Fernandez Vega;1936-1939;FELIX;FERNANDEZ VEGA;Oviedo;AR;Republicanos;CI;322
Luis Laredo Vega;1936-1939;LUIS;LAREDO VEGA;Oviedo;AR;Republicanos;CI;478
Jose Maldonado Gonzalez;1936-1939;JOSE;MALDONADO GONZALEZ;Oviedo;AR;Republicanos;CI;519
Angel Menendez Suarez;1936-1939;ANGEL;MENENDEZ SUAREZ;Oviedo;AR;Republicanos;CI;590
Matias Peñalba Alonso De Ojeda;1931-1933;MATIAS;PEÑALBA ALONSO DE OJEDA;Palencia;AR;Republicanos;CI;708
Bibiano Fernandez Osorio Tafall;1936-1939;BIBIANO;FERNANDEZ OSORIO TAFALL;Pontevedra;AR;Republicanos;CI;319
Alejandro Viana Esperon;1936-1939;ALEJANDRO;VIANA ESPERON;Pontevedra;AR;Republicanos;CI;996
Elpidio Villaverde Rey;1936-1939;ELPIDIO;VILLAVERDE REY;Pontevedra;AR;Republicanos;CI;1015
Joaquin Poza Juncal;1931-1933;JOAQUIN;POZA JUNCAL;Pontevedra;AR;Republicanos;CI;747
Casto Prieto Carrasco;1936-1939;CASTO;PRIETO CARRASCO;Salamanca;AR;Republicanos;CI;751
Luis Rodriguez Figueroa;1936-1939;LUIS;RODRIGUEZ FIGUEROA;Santa Cruz de Tenerife;AR;Republicanos;CI;805
Ramon Ruiz Rebollo;1936-1939;RAMON;RUIZ REBOLLO;Santander;AR;Republicanos;CI;838
Juan Maria Aguilar Calvo;1936-1939;JUAN MARIA;AGUILAR CALVO;Sevilla;AR;Republicanos;CI;14
Manuel Perez Jofre De Villegas;1936-1939;MANUEL;PEREZ JOFRE DE VILLEGAS;Sevilla;AR;Republicanos;CI;721
Ricardo Crespo Romero;1931-1933;RICARDO;CRESPO ROMERO;Sevilla;AR;Republicanos;CI;251
Jose Dominguez Barbero;1931-1933;JOSE;DOMINGUEZ BARBERO;Sevilla;AR;Republicanos;CI;274
Miguel Garcia Bravo Ferrer;1931-1933;MIGUEL;GARCIA BRAVO FERRER;Sevilla;AR;Republicanos;CI;356
Ramon Gonzalez Sicilia Y De La Corte;1931-1933;RAMON;GONZALEZ SICILIA Y DE LA CORTE;Sevilla;AR;Republicanos;CI;407
Diego Martinez Barrio;1931-1933;DIEGO;MARTINEZ BARRIO;Sevilla;AR;Republicanos;CI;550
Marcelino Domingo Sanjuan;1936-1939;MARCELINO;DOMINGO SANJUAN;Tarragona;AR;Republicanos;CI;272
Jose Pardo Gayoso;1936-1939;JOSE;PARDO GAYOSO;Teruel;AR;Republicanos;CI;694
Gregorio Vilatela Abad;1936-1939;GREGORIO;VILATELA ABAD;Teruel;AR;Republicanos;CI;1003
Manuel Alvarez Ugena Y Sanchez Tembleque;1936-1939;MANUEL;ALVAREZ UGENA Y SANCHEZ TEMBLEQUE;Toledo;AR;Republicanos;CI;56
Emilio Palomo Aguado;1936-1939;EMILIO;PALOMO AGUADO;Toledo;AR;Republicanos;CI;692
Manuel Azaña Diaz;1931-1933;MANUEL;AZAÑA DIAZ;Valencia;AR;Republicanos;CI;89
Julio Just Gimeno;1936-1939;JULIO;JUST GIMENO;Valencia;AR;Republicanos;CI;466
Dario Marcos Cano;1936-1939;DARIO;MARCOS CANO;Valencia;AR;Republicanos;CI;530
Federico Martinez Miñana;1936-1939;FEDERICO;MARTINEZ MIÑANA;Valencia;AR;Republicanos;CI;563
Miguel Perez Martinez;1936-1939;MIGUEL;PEREZ MARTINEZ;Valencia;AR;Republicanos;CI;723
Juan Peset Aleixandre;1936-1939;JUAN;PESET ALEIXANDRE;Valencia;AR;Republicanos;CI;729
Miguel San Andres Castro;1936-1939;MIGUEL;SAN ANDRES CASTRO;Valencia;AR;Republicanos;CI;864
Pedro Vargas Guerendiain;1936-1939;PEDRO;VARGAS GUERENDIAIN;Valencia;AR;Republicanos;CI;977
Isidoro Vergara Castrillon;1931-1933;ISIDORO;VERGARA CASTRILLON;Valladolid;AR;Republicanos;CI;995
Isidoro Vergara Castrillon;1936-1939;ISIDORO;VERGARA CASTRILLON;Valladolid;AR;Republicanos;CI;995
Vicente Sol Sanchez;1931-1933;VICENTE;SOL SANCHEZ;Valladolid;AR;Republicanos;CI;915
Manuel Azaña Diaz;1933-1936;MANUEL;AZAÑA DIAZ;Vizcaya;AR;Republicanos;CI;89
Mariano Ruiz Funes Garcia;1936-1939;MARIANO;RUIZ FUNES GARCIA;Vizcaya;AR;Republicanos;CI;835
Antonio Moreno Jover;1936-1939;ANTONIO;MORENO JOVER;Zamora;AR;Republicanos;CI;630
Honorato De Castro Bonel;1931-1933;HONORATO DE;CASTRO BONEL;Zaragoza;AR;Republicanos;CI;219
Honorato De Castro Bonel;1936-1939;HONORATO DE;CASTRO BONEL;Zaragoza;AR;Republicanos;CI;219
Mariano Joven Hernandez;1936-1939;MARIANO;JOVEN HERNANDEZ;Zaragoza;AR;Republicanos;CI;461
Mariano Tejero Manero;1936-1939;MARIANO;TEJERO MANERO;Zaragoza;AR;Republicanos;CI;935
Francisco Julia Perello;1931-1933;FRANCISCO;JULIA PERELLO;Baleares;Federalista;Republicanos;CI;463
Felipe Sanchez Roman Y Gallifa;1931-1933;FELIPE;SANCHEZ ROMAN Y GALLIFA;Madrid;Independiente;Republicanos;CI;874
Manuel Dolcet Carmen;1931-1933;MANUEL;DOLCET CARMEN;Barcelona;PRDF;Republicanos;CI;270
Juan Company Jimenez;1931-1933;JUAN;COMPANY JIMENEZ;Almería;PRDF;Republicanos;CI;238
Joaquin Pi Y Arsuaga;1931-1933;JOAQUIN;PI Y ARSUAGA;Barcelona;PRDF;Republicanos;CI;731
Luis Cordero Bel;1936-1939;LUIS;CORDERO BEL;Huelva;PRDF;Republicanos;CI;242
Eugenio Arauz Payardo;1931-1933;EUGENIO;ARAUZ PAYARDO;Madrid;PRDF;Republicanos;CI;73
Melchor Marial Mundet;1931-1933;MELCHOR;MARIAL MUNDET;Madrid;PRDF;Republicanos;CI;534
Rodrigo Soriano Barroeta Aldamar;1931-1933;RODRIGO;SORIANO BARROETA ALDAMAR;Málaga;PRDF;Republicanos;CI;920
Angel Menendez Suarez;1931-1933;ANGEL;MENENDEZ SUAREZ;Oviedo;PRDF;Republicanos;CI;590
Eduardo Barriobero Herran;1931-1933;EDUARDO;BARRIOBERO HERRAN;Oviedo;PRDF;Republicanos;CI;112
Emilio Niembro Gutierrez;1931-1933;EMILIO;NIEMBRO GUTIERREZ;Oviedo;PRDF;Republicanos;CI;655
Angel Sarmiento Gonzalez;1931-1933;ANGEL;SARMIENTO GONZALEZ;Oviedo;PRDF;Republicanos;CI;890
Jose Franchy Roca;1931-1933;JOSE;FRANCHY ROCA;Palmas (Las);PRDF;Republicanos;CI;337
Bernardino Valle Gracia;1931-1933;BERNARDINO;VALLE GRACIA;Palmas (Las);PRDF;Republicanos;CI;973
Bernardino Valle Gracia;1936-1939;BERNARDINO;VALLE GRACIA;Palmas (Las);PRDF;Republicanos;CI;973
Eduardo Perez Iglesias;1931-1933;EDUARDO;PEREZ IGLESIAS;Santander;PRDF;Republicanos;CI;720
Ramon Ruiz Rebollo;1931-1933;RAMON;RUIZ REBOLLO;Santander;PRDF;Republicanos;CI;838
Manuel Hilario Ayuso E Iglesias;1931-1933;MANUEL HILARIO;AYUSO E IGLESIAS;Soria;PRDF;Republicanos;CI;87
Felix Susaeta Y Mardones;1931-1933;FELIX;SUSAETA Y MARDONES;Álava;PRRS;Republicanos;CI;929
Manuel Alcazar Gonzalez Zamorano;1931-1933;MANUEL;ALCAZAR GONZALEZ ZAMORANO;Albacete;PRRS;Republicanos;CI;29
Juan Botella Asensi;1931-1933;JUAN;BOTELLA ASENSI;Alicante;PRRS;Republicanos;CI;155
Jeronimo Gomariz Latorre;1931-1933;JERONIMO;GOMARIZ LATORRE;Alicante;PRRS;Republicanos;CI;386
Julio Maria Lopez Orozco;1931-1933;JULIO MARIA;LOPEZ OROZCO;Alicante;PRRS;Republicanos;CI;499
Antonio Perez Torreblanca;1931-1933;ANTONIO;PEREZ TORREBLANCA;Alicante;PRRS;Republicanos;CI;724
Miguel Granados Ruiz;1931-1933;MIGUEL;GRANADOS RUIZ;Almería;PRRS;Republicanos;CI;417
Nicolas Salmeron Garcia;1931-1933;NICOLAS;SALMERON GARCIA;Almería;PRRS;Republicanos;CI;856
Francisco Barnes Salinas;1931-1933;FRANCISCO;BARNES SALINAS;Ávila;PRRS;Republicanos;CI;107
Jose Salmeron Garcia;1931-1933;JOSE;SALMERON GARCIA;Badajoz;PRRS;Republicanos;CI;855
Gabriel Alomar Villalonga;1931-1933;GABRIEL;ALOMAR VILLALONGA;Baleares;PRRS;Republicanos;CI;38
Angel Segovia Burillo;1931-1933;ANGEL;SEGOVIA BURILLO;Cáceres;PRRS;Republicanos;CI;896
Antonio De La Villa Gutierrez;1931-1933;ANTONIO DE LA;VILLA GUTIERREZ;Cáceres;PRRS;Republicanos;CI;1005
Manuel Muñoz Martinez;1931-1933;MANUEL;MUÑOZ MARTINEZ;Cádiz;PRRS;Republicanos;CI;644
Ramon Navarro Vives;1931-1933;RAMON;NAVARRO VIVES;Cartagena;PRRS;Republicanos;CI;651
Antonio L. Sanchez Prados;1931-1933;ANTONIO L.;SANCHEZ PRADOS;Ceuta;PRRS;Republicanos;CI;873
Eduardo Ortega Y Gasset;1931-1933;EDUARDO;ORTEGA Y GASSET;Ciudad Real;PRRS;Republicanos;CI;672
Joaquin Perez Madrigal;1931-1933;JOAQUIN;PEREZ MADRIGAL;Ciudad Real;PRRS;Republicanos;CI;722
Luis Lopez Doriga Meseguer;1931-1933;LUIS;LOPEZ DORIGA MESEGUER;Granada;PRRS;Republicanos;CI;497
Casimiro Lana Sarrate;1931-1933;CASIMIRO;LANA SARRATE;Huelva;PRRS;Republicanos;CI;473
Felix Gordon Ordas;1931-1933;FELIX;GORDON ORDAS;León;PRRS;Republicanos;CI;412
Felix Gordon Ordas;1933-1936;FELIX;GORDON ORDAS;León;PRRS;Republicanos;CI;412
Isaac Abeytua Perez Iñigo;1931-1933;ISAAC;ABEYTUA PEREZ IÑIGO;Logroño;PRRS;Republicanos;CI;3
Jesus Ruiz Del Rio;1931-1933;JESUS;RUIZ DEL RIO;Logroño;PRRS;Republicanos;CI;832
Victoria Kent Siano;1931-1933;VICTORIA;KENT SIANO;Madrid;PRRS;Republicanos;CI;467
Juan Luis Martin De Antonio;1931-1933;JUAN LUIS;MARTIN DE ANTONIO;Madrid;PRRS;Republicanos;CI;541
Emilio Baeza Medina;1931-1933;EMILIO;BAEZA MEDINA;Málaga;PRRS;Republicanos;CI;97
Jose Maria Martinez Jimenez;1931-1933;JOSE MARIA;MARTINEZ JIMENEZ;Málaga;PRRS;Republicanos;CI;561
Francisco Saval Moris;1931-1933;FRANCISCO;SAVAL MORIS;Málaga;PRRS;Republicanos;CI;893
Francisco Lopez De Goicoechea E Inchaurrandieta;1931-1933;FRANCISCO;LOPEZ DE GOICOECHEA E INCHAURRANDIETA;Murcia;PRRS;Republicanos;CI;495
Jose Moreno Galvache;1931-1933;JOSE;MORENO GALVACHE;Murcia;PRRS;Republicanos;CI;628
Emilio Azarola Gresillon;1931-1933;EMILIO;AZAROLA GRESILLON;Navarra;PRRS;Republicanos;CI;90
Alvaro De Albornoz Y Liminiana;1931-1933;ALVARO DE;ALBORNOZ Y LIMINIANA;Oviedo;PRRS;Republicanos;CI;26
Jose Diaz Fernandez;1931-1933;JOSE;DIAZ FERNANDEZ;Oviedo;PRRS;Republicanos;CI;264
Leopoldo Garcia Alas Y Garcia Arguelles;1931-1933;LEOPOLDO;GARCIA ALAS Y GARCIA ARGUELLES;Oviedo;PRRS;Republicanos;CI;351
Carlos Martinez Y Martinez;1931-1933;CARLOS;MARTINEZ Y MARTINEZ;Oviedo;PRRS;Republicanos;CI;572
Manuel Ruiz De Villa Y P. Carral;1931-1933;MANUEL;RUIZ DE VILLA Y P. CARRAL;Santander;PRRS;Republicanos;CI;831
