id_medida,id_legislature,id_dip1,name_dip1,id_dip2,name_dip2,ideo_dip1,ideo_dip2
7,1931-1933,436,Jose Horn Areilza,512,Dimas Madariaga Almendros,CD,D
7,1931-1933,436,Jose Horn Areilza,607,Ramon Molina Nieto,CD,D
7,1931-1933,436,Jose Horn Areilza,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,CD,CD
7,1931-1933,436,Jose Horn Areilza,735,Antonio Pildain Zapiain,CD,ED
7,1931-1933,436,Jose Horn Areilza,821,Antonio Royo Villanova Morales,CD,CD
7,1931-1933,512,Dimas Madariaga Almendros,607,Ramon Molina Nieto,D,D
7,1931-1933,512,Dimas Madariaga Almendros,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,D,CD
7,1931-1933,512,Dimas Madariaga Almendros,735,Antonio Pildain Zapiain,D,ED
7,1931-1933,512,Dimas Madariaga Almendros,821,Antonio Royo Villanova Morales,D,CD
7,1931-1933,607,Ramon Molina Nieto,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,D,CD
7,1931-1933,607,Ramon Molina Nieto,735,Antonio Pildain Zapiain,D,ED
7,1931-1933,607,Ramon Molina Nieto,821,Antonio Royo Villanova Morales,D,CD
7,1931-1933,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,735,Antonio Pildain Zapiain,CD,ED
7,1931-1933,674,Tomas Ortiz De Solorzano Y Ortiz De La Puente,821,Antonio Royo Villanova Morales,CD,CD
7,1931-1933,735,Antonio Pildain Zapiain,821,Antonio Royo Villanova Morales,ED,CD
8,1931-1933,32,Edmundo Alfaro Gironda,295,Luis Fabrega Coello,C,C
8,1931-1933,32,Edmundo Alfaro Gironda,670,Andres Orozco Batista,C,C
8,1931-1933,32,Edmundo Alfaro Gironda,809,Santiago Rodriguez Piñero,C,C
8,1931-1933,32,Edmundo Alfaro Gironda,851,Rafael Salazar Alonso,C,C
8,1931-1933,32,Edmundo Alfaro Gironda,913,Jaime Simo Bofarull,C,C
8,1931-1933,32,Edmundo Alfaro Gironda,958,Antonio Tuñon De Lara,C,C
8,1931-1933,32,Edmundo Alfaro Gironda,1011,Justo Villanueva Y Gomez,C,C
8,1931-1933,295,Luis Fabrega Coello,670,Andres Orozco Batista,C,C
8,1931-1933,295,Luis Fabrega Coello,809,Santiago Rodriguez Piñero,C,C
8,1931-1933,295,Luis Fabrega Coello,851,Rafael Salazar Alonso,C,C
8,1931-1933,295,Luis Fabrega Coello,913,Jaime Simo Bofarull,C,C
8,1931-1933,295,Luis Fabrega Coello,958,Antonio Tuñon De Lara,C,C
8,1931-1933,295,Luis Fabrega Coello,1011,Justo Villanueva Y Gomez,C,C
8,1931-1933,670,Andres Orozco Batista,809,Santiago Rodriguez Piñero,C,C
8,1931-1933,670,Andres Orozco Batista,851,Rafael Salazar Alonso,C,C
8,1931-1933,670,Andres Orozco Batista,913,Jaime Simo Bofarull,C,C
8,1931-1933,670,Andres Orozco Batista,958,Antonio Tuñon De Lara,C,C
8,1931-1933,670,Andres Orozco Batista,1011,Justo Villanueva Y Gomez,C,C
8,1931-1933,809,Santiago Rodriguez Piñero,851,Rafael Salazar Alonso,C,C
8,1931-1933,809,Santiago Rodriguez Piñero,913,Jaime Simo Bofarull,C,C
8,1931-1933,809,Santiago Rodriguez Piñero,958,Antonio Tuñon De Lara,C,C
8,1931-1933,809,Santiago Rodriguez Piñero,1011,Justo Villanueva Y Gomez,C,C
8,1931-1933,851,Rafael Salazar Alonso,913,Jaime Simo Bofarull,C,C
8,1931-1933,851,Rafael Salazar Alonso,958,Antonio Tuñon De Lara,C,C
8,1931-1933,851,Rafael Salazar Alonso,1011,Justo Villanueva Y Gomez,C,C
8,1931-1933,913,Jaime Simo Bofarull,958,Antonio Tuñon De Lara,C,C
8,1931-1933,913,Jaime Simo Bofarull,1011,Justo Villanueva Y Gomez,C,C
8,1931-1933,958,Antonio Tuñon De Lara,1011,Justo Villanueva Y Gomez,C,C
9,1931-1933,83,Benito Artigas Arpon,99,Jose Ballester Gozalvo,CI,CI
9,1931-1933,83,Benito Artigas Arpon,107,Francisco Barnes Salinas,CI,CI
9,1931-1933,83,Benito Artigas Arpon,264,Jose Diaz Fernandez,CI,CI
9,1931-1933,83,Benito Artigas Arpon,345,Angel Galarza Gago,CI,CI
9,1931-1933,83,Benito Artigas Arpon,832,Jesus Ruiz Del Rio,CI,CI
9,1931-1933,83,Benito Artigas Arpon,929,Felix Susaeta Y Mardones,CI,CI
9,1931-1933,99,Jose Ballester Gozalvo,107,Francisco Barnes Salinas,CI,CI
9,1931-1933,99,Jose Ballester Gozalvo,264,Jose Diaz Fernandez,CI,CI
9,1931-1933,99,Jose Ballester Gozalvo,345,Angel Galarza Gago,CI,CI
9,1931-1933,99,Jose Ballester Gozalvo,832,Jesus Ruiz Del Rio,CI,CI
9,1931-1933,99,Jose Ballester Gozalvo,929,Felix Susaeta Y Mardones,CI,CI
9,1931-1933,107,Francisco Barnes Salinas,264,Jose Diaz Fernandez,CI,CI
9,1931-1933,107,Francisco Barnes Salinas,345,Angel Galarza Gago,CI,CI
9,1931-1933,107,Francisco Barnes Salinas,832,Jesus Ruiz Del Rio,CI,CI
9,1931-1933,107,Francisco Barnes Salinas,929,Felix Susaeta Y Mardones,CI,CI
9,1931-1933,264,Jose Diaz Fernandez,345,Angel Galarza Gago,CI,CI
9,1931-1933,264,Jose Diaz Fernandez,832,Jesus Ruiz Del Rio,CI,CI
9,1931-1933,264,Jose Diaz Fernandez,929,Felix Susaeta Y Mardones,CI,CI
9,1931-1933,345,Angel Galarza Gago,832,Jesus Ruiz Del Rio,CI,CI
9,1931-1933,345,Angel Galarza Gago,929,Felix Susaeta Y Mardones,CI,CI
9,1931-1933,832,Jesus Ruiz Del Rio,929,Felix Susaeta Y Mardones,CI,CI
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,208,Candido Casanueva Y Gorjon,CD,CD
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,247,Ricardo Cortes Villasana,CD,D
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,255,Ramon De La Cuesta Y Cobo De La Torre,CD,CD
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,298,Joaquin Fanjul Goñi,CD,CD
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,388,Aurelio Gomez Gonzalez,CD,CD
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,393,Ricardo Gomez Roji,CD,ED
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,421,Santiago Guallar Poza,CD,D
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,470,Jose Maria Lamamie De Clairac Y De La Colina,CD,ED
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,512,Dimas Madariaga Almendros,CD,D
10,1931-1933,39,Tomas Alonso De Armiño Y Calleja,821,Antonio Royo Villanova Morales,CD,CD
10,1931-1933,208,Candido Casanueva Y Gorjon,247,Ricardo Cortes Villasana,CD,D
10,1931-1933,208,Candido Casanueva Y Gorjon,255,Ramon De La Cuesta Y Cobo De La Torre,CD,CD
10,1931-1933,208,Candido Casanueva Y Gorjon,298,Joaquin Fanjul Goñi,CD,CD
10,1931-1933,208,Candido Casanueva Y Gorjon,388,Aurelio Gomez Gonzalez,CD,CD
10,1931-1933,208,Candido Casanueva Y Gorjon,393,Ricardo Gomez Roji,CD,ED
10,1931-1933,208,Candido Casanueva Y Gorjon,421,Santiago Guallar Poza,CD,D
10,1931-1933,208,Candido Casanueva Y Gorjon,470,Jose Maria Lamamie De Clairac Y De La Colina,CD,ED
10,1931-1933,208,Candido Casanueva Y Gorjon,512,Dimas Madariaga Almendros,CD,D
10,1931-1933,208,Candido Casanueva Y Gorjon,821,Antonio Royo Villanova Morales,CD,CD
10,1931-1933,247,Ricardo Cortes Villasana,255,Ramon De La Cuesta Y Cobo De La Torre,D,CD
10,1931-1933,247,Ricardo Cortes Villasana,298,Joaquin Fanjul Goñi,D,CD
10,1931-1933,247,Ricardo Cortes Villasana,388,Aurelio Gomez Gonzalez,D,CD
